Episode,Season,Title,Location,Speaker,Context,Text
1,1,The Cage,bridge,Spock,,Check the circuit.
1,1,The Cage,bridge,Tyler,,"All operating, sir."
1,1,The Cage,bridge,Spock,,"It can't be the screen then. Definitely something out there, Captain, headed this way."
1,1,The Cage,bridge,Tyler,,It could be these meteorites.
1,1,The Cage,bridge,One,,"No, it's something else. There's still something out there."
1,1,The Cage,bridge,Tyler,,"It's coming at the speed of light, collision course. The meteorite beam has not deflected it, Captain."
1,1,The Cage,bridge,One,,"Evasive manoeuvres, sir?"
1,1,The Cage,bridge,Pike,,Steady as we go.
1,1,The Cage,bridge,Garison,,"It's a radio wave, sir. We're passing through an old-style distress signal."
1,1,The Cage,bridge,Pike,,They were keyed to cause interference and attract attention this way.
1,1,The Cage,bridge,Garison,,"A ship in trouble making a forced landing, sir. That's it. No other message."
1,1,The Cage,bridge,Tyler,,I have a fix. It comes from the Talos star group.
1,1,The Cage,bridge,One,,We've no ships or Earth colonies that far out.
1,1,The Cage,bridge,Spock,,Their call letters check with a survey expedition. SS Columbia. It disappeared in that region approximately eighteen years ago.
1,1,The Cage,bridge,Tyler,,It would take that long for a radio beam to travel from there to here.
1,1,The Cage,bridge,Spock,,"Records show the Talos group has never been explored. Solar system similar to Earth, eleven planets. Number four seems to be Class M, oxygen atmosphere."
1,1,The Cage,bridge,One,,"Then they could still be alive, even after eighteen years."
1,1,The Cage,bridge,Pike,,If they survived the crash.
1,1,The Cage,bridge,Spock,,"We aren't going to go, to be certain?"
1,1,The Cage,bridge,Pike,,"Not without any indication of survivors, no. Continue to the Vega Colony and take care of our own sick and injured first. You have the helm. Maintain present course."
1,1,The Cage,bridge,One,,"Yes, sir."
1,1,The Cage,pike's quarters,Narrator,,BOYCE [OC}: Boyce here.
1,1,The Cage,pike's quarters,Pike,,"Drop by my cabin, Doctor. (Boyce enters with bag) What's that? I didn't say there's anything wrong with me."
1,1,The Cage,pike's quarters,Boyce,,I understand we picked up a distress signal.
1,1,The Cage,pike's quarters,Pike,,"That's right. Unless we get anything more positive on it, it seems to me the condition of our own crew takes precedent. I'd like to log the ship's doctor's opinion, too."
1,1,The Cage,pike's quarters,Boyce,,"Oh, I concur with yours, definitely."
1,1,The Cage,pike's quarters,Pike,,"Good. I'm glad you do, because we're going to stop first at the Vega Colony and replace anybody who needs hospitalisation and also. What the devil are you putting in there, ice?"
1,1,The Cage,pike's quarters,Boyce,,Who wants a warm martini?
1,1,The Cage,pike's quarters,Pike,,What makes you think I need one?
1,1,The Cage,pike's quarters,Boyce,,"Sometimes a man'll tell his bartender things he'll never tell his doctor. What's been on your mind, Chris, the fight on Rigel Seven?"
1,1,The Cage,pike's quarters,Pike,,"Shouldn't it be? My own yeoman and two others dead, seven injured."
1,1,The Cage,pike's quarters,Boyce,,Was there anything you personally could have done to prevent it?
1,1,The Cage,pike's quarters,Pike,,"Oh, I should have smelled trouble when I saw the swords and the armour. Instead of that, I let myself get trapped in that deserted fortress and attacked by one of their warriors."
1,1,The Cage,pike's quarters,Boyce,,"Chris, you set standards for yourself no one could meet. You treat everyone on board like a human being except yourself, and now you're tired and you"
1,1,The Cage,pike's quarters,Pike,,"You bet I'm tired. You bet. I'm tired of being responsible for two hundred and three lives. I'm tired of deciding which mission is too risky and which isn't, and who's going on the landing party and who doesn't, and who lives and who dies. Boy, I've had it, Phil."
1,1,The Cage,pike's quarters,Boyce,,"To the point of finally taking my advice, a rest leave?"
1,1,The Cage,pike's quarters,Pike,,To the point of considering resigning.
1,1,The Cage,pike's quarters,Boyce,,And do what?
1,1,The Cage,pike's quarters,Pike,,"Well, for one thing, go home. Nice little town with fifty miles of parkland around it. Remember I told you I had two horses, and we used to take some food and ride out all day."
1,1,The Cage,pike's quarters,Boyce,,"Ah, that sounds exciting. Ride out with a picnic lunch every day."
1,1,The Cage,pike's quarters,Pike,,I said that's one place I might go. I might go into business on Regulus or on the Orion colony.
1,1,The Cage,pike's quarters,Boyce,,"You, an Orion trader, dealing in green animal women, slaves?"
1,1,The Cage,pike's quarters,Pike,,The point is this isn't the only life available. There's a whole galaxy of things to choose from.
1,1,The Cage,pike's quarters,Boyce,,"Not for you. A man either lives life as it happens to him, meets it head-on, and licks it, or he turns his back on it and starts to wither away."
1,1,The Cage,pike's quarters,Pike,,"Now you're beginning to talk like a doctor, bartender."
1,1,The Cage,pike's quarters,Boyce,,Take your choice. We both get the same two kinds of customers. The living and the dying.
1,1,The Cage,pike's quarters,Spock,,"Mister Spock here. We're intercepting a follow-up message, sir. There are crash survivors on Talos."
1,1,The Cage,bridge,Garison,reads,"Eleven survivors from crash. Gravity and oxygen within limits. Food and water obtainable, but unless. The message faded at that point, sir."
1,1,The Cage,bridge,Pike,,Address intercraft.
1,1,The Cage,bridge,Tyler,,System open.
1,1,The Cage,bridge,Pike,,"This is the captain. Our destination is the Talos star group. Our time warp, factor seven."
1,1,The Cage,bridge,Tyler,,Course computed and on the screen.
1,1,The Cage,bridge,One,,"All decks have acknowledged, sir."
1,1,The Cage,bridge,Pike,,Engage.
1,1,The Cage,bridge,Tyler,,"On course, sir."
1,1,The Cage,bridge,,Colt enters. Pike turns around and bumps into her,
1,1,The Cage,bridge,Pike,,Yeoman.
1,1,The Cage,bridge,Colt,,"Yes, sir."
1,1,The Cage,bridge,Pike,,I thought I told you that when I'm on the bridge
1,1,The Cage,bridge,Colt,,"But you wanted the reports by oh five hundred. It's oh five hundred now, sir."
1,1,The Cage,bridge,Pike,,"Oh, I see. Thank you."
1,1,The Cage,bridge,One,,"She's replacing your former yeoman, sir."
1,1,The Cage,bridge,Pike,,"She does a good job, all right. It's just that I can't get used to having a woman on the bridge. No offence, Lieutenant. You're different, of course."
1,1,The Cage,bridge,,The Enterprise arrives at a planet,
1,1,The Cage,bridge,Tyler,,"We've settled into orbit, sir."
1,1,The Cage,bridge,Geologist,,"Geological lab report complete, Captain."
1,1,The Cage,bridge,Spock,,"Preliminary lab survey ready, sir."
1,1,The Cage,bridge,Pike,,Spectography?
1,1,The Cage,bridge,Geologist,,"Our reading shows an oxygen nitrogen atmosphere, sir, heavy with inert elements but well within safety limits."
1,1,The Cage,bridge,Pike,,Gravity?
1,1,The Cage,bridge,Geologist,,Zero point nine of Earth.
1,1,The Cage,bridge,Tyler,,"Captain? Reflections, sir, from the planet's surface. As I read it, they polarise out as rounded metal bits. Could be parts of a spaceship hull."
1,1,The Cage,bridge,Pike,,Prep a landing party of six. You feel up to it?
1,1,The Cage,bridge,Spock,,"Yes, sir."
1,1,The Cage,bridge,Tyler,,"Yes, sir."
1,1,The Cage,bridge,Pike,,"Sorry, Number One. With little information on this planet, we'll have to leave the ship's most experienced officer here covering us."
1,1,The Cage,bridge,One,,"Of course, sir."
1,1,The Cage,transporter room,Pike,,"There's no indication of problems down there, but let's not take chances."
1,1,The Cage,transporter room,Pitcairn,,"Yes, sir. There's a canyon to the left. We can set you there completely unobserved."
1,1,The Cage,planet surface,,the group explores until they find a rough settlement,
1,1,The Cage,planet surface,Garison,,Sir.
1,1,The Cage,planet surface,Old Man,,They're men. They're humans.
1,1,The Cage,planet surface,Pike,,"Captain Christopher Pike, United Space Ship Enterprise."
1,1,The Cage,planet surface,Haskins,,"Doctor Theodore Haskins, American Continent lnstitute."
1,1,The Cage,planet surface,Survivor,,Is Earth all right?
1,1,The Cage,planet surface,Pike,,"The same old Earth, and you'll see it very soon."
1,1,The Cage,planet surface,Tyler,,And you won't believe how fast you can get back. Well the time barrier's been broken. Our new ships can
1,1,The Cage,planet surface,,He's struck dumb by the sight of a lovely young woman,
1,1,The Cage,planet surface,Haskins,,This is Vina. Her parents are dead. She was born almost as we crashed.
1,1,The Cage,planet surface,,"The reunion is being watched on another screen, by three people with big bald heads",
1,1,The Cage,planet surface,Pike,as the survivors pack up the settlement,Enterprise.
1,1,The Cage,planet surface,One,,"Landing party, come in."
1,1,The Cage,planet surface,Pike,,We'll begin transporting the survivors and their effects up to you very shortly.
1,1,The Cage,planet surface,One,,"Quarters are being prepared, sir. Have I permission to send out scouting and scientific parties now?"
1,1,The Cage,planet surface,Pike,,That's affirmative on the
1,1,The Cage,planet surface,Vina,,"You appear to be healthy and intelligent, Captain. A prime specimen."
1,1,The Cage,planet surface,One,,"I didn't get that last message, Captain."
1,1,The Cage,planet surface,Pike,,"Er, affirmative on request. Landing party out."
1,1,The Cage,planet surface,Haskins,,"You must forgive her choice of words, Captain. She's lived her whole life with a collection of aging scientists."
1,1,The Cage,planet surface,Boyce,,"If they can spare you a moment, I'd like to make my medical report."
1,1,The Cage,planet surface,Vina,,I think it's time to show the Captain our secret.
1,1,The Cage,planet surface,Boyce,,Their health is excellent. Almost too good.
1,1,The Cage,planet surface,Haskins,,"There's a reason for our condition, but we've had some doubt if Earth is ready to learn the secret. Let the girl show you. We'll accept your judgment."
1,1,The Cage,planet surface,,Pike follows Vina up a slope to a ledge by a rock face,
1,1,The Cage,planet surface,Vina,,"You're tired, but don't worry. You'll feel much better soon. Don't you see it? Here and here."
1,1,The Cage,planet surface,Pike,,I don't understand.
1,1,The Cage,planet surface,Vina,,You will. You're a perfect choice.
1,1,The Cage,planet surface,,"Vina vanishes, and so do all the survivors and their encampment. A door opens in the rock face, Pike is knocked out and taken inside. At the settlement -",
1,1,The Cage,planet surface,Tyler,,Captain!
1,1,The Cage,planet surface,,Everyone rushes over in time to see the door closing in the rock. They fire their phasers at it but it just blasts away the rock covering to show the metal underneath.,
1,1,The Cage,planet surface,Spock,,Spock here.
1,1,The Cage,planet surface,One,,"Landing party, come in."
1,1,The Cage,planet surface,Spock,,"There is no survivors' encampment, Number One. This is all some sort of trap. We've lost the Captain. Do you read?"
1,1,The Cage,pike's cage,,"Pike wakes to find himself in a cell with a transparent wall blocking his escape. He tests it's strength, and notices other similar occupied cells. There's a fanged ape, a giant bird and other scary shadows. The three aliens arrive",
1,1,The Cage,pike's cage,Pike,,"Can you hear me? My name is Christopher Pike, commander of the space vehicle Enterprise from a stellar group at the other end of this galaxy. Our intentions are peaceful. Can you understand me?"
1,1,The Cage,pike's cage,,"the aliens communicate with their minds, not voices",
1,1,The Cage,pike's cage,Talosian,,"It appears, Magistrate, that the intelligence of the specimen is shockingly limited."
