Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,Saratoga - Bridge,Locutus,,resistance
401,1,Emissary,Saratoga - Bridge,Locutus,,is
401,1,Emissary,Saratoga - Bridge,Locutus,,futile
401,1,Emissary,Saratoga - Bridge,Locutus,,.
401,1,Emissary,Saratoga - Bridge,Locutus,,you
401,1,Emissary,Saratoga - Bridge,Locutus,,will
401,1,Emissary,Saratoga - Bridge,Locutus,,disarm
401,1,Emissary,Saratoga - Bridge,Locutus,,your
401,1,Emissary,Saratoga - Bridge,Locutus,,weapons
401,1,Emissary,Saratoga - Bridge,Locutus,,and
401,1,Emissary,Saratoga - Bridge,Locutus,,escort
401,1,Emissary,Saratoga - Bridge,Locutus,,us
401,1,Emissary,Saratoga - Bridge,Locutus,,to
401,1,Emissary,Saratoga - Bridge,Locutus,,sector
401,1,Emissary,Saratoga - Bridge,Locutus,,zero
401,1,Emissary,Saratoga - Bridge,Locutus,,zero
401,1,Emissary,Saratoga - Bridge,Locutus,,one
401,1,Emissary,Saratoga - Bridge,Locutus,,.
401,1,Emissary,Saratoga - Bridge,Locutus,,if
401,1,Emissary,Saratoga - Bridge,Locutus,,you
401,1,Emissary,Saratoga - Bridge,Locutus,,attempt
401,1,Emissary,Saratoga - Bridge,Locutus,,to
401,1,Emissary,Saratoga - Bridge,Locutus,,intervene
401,1,Emissary,Saratoga - Bridge,Locutus,,","
401,1,Emissary,Saratoga - Bridge,Locutus,,we
401,1,Emissary,Saratoga - Bridge,Locutus,,will
401,1,Emissary,Saratoga - Bridge,Locutus,,destroy
401,1,Emissary,Saratoga - Bridge,Locutus,,you
401,1,Emissary,Saratoga - Bridge,Locutus,,.
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,red
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,alert
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,.
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,load
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,all
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,torpedo
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,bays
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,.
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,ready
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,phasers
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,.
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,move
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,us
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,to
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,position
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,alpha
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,","
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,ensign
401,1,Emissary,Saratoga - Bridge,Captain,a Vulcan,.
401,1,Emissary,Saratoga - Bridge,Ops Officer,woman,they
401,1,Emissary,Saratoga - Bridge,Ops Officer,woman,'ve
401,1,Emissary,Saratoga - Bridge,Ops Officer,woman,locked
401,1,Emissary,Saratoga - Bridge,Ops Officer,woman,on
401,1,Emissary,Saratoga - Bridge,Ops Officer,woman,.
401,1,Emissary,Saratoga - Bridge,Sisko,,reroute
401,1,Emissary,Saratoga - Bridge,Sisko,,auxiliary
401,1,Emissary,Saratoga - Bridge,Sisko,,power
401,1,Emissary,Saratoga - Bridge,Sisko,,.
401,1,Emissary,Saratoga - Bridge,Ops Officer,,our
401,1,Emissary,Saratoga - Bridge,Ops Officer,,shields
401,1,Emissary,Saratoga - Bridge,Ops Officer,,are
401,1,Emissary,Saratoga - Bridge,Ops Officer,,being
401,1,Emissary,Saratoga - Bridge,Ops Officer,,drained
401,1,Emissary,Saratoga - Bridge,Ops Officer,,.
401,1,Emissary,Saratoga - Bridge,Ops Officer,,sixty
401,1,Emissary,Saratoga - Bridge,Ops Officer,,four
401,1,Emissary,Saratoga - Bridge,Ops Officer,,percent
401,1,Emissary,Saratoga - Bridge,Ops Officer,,.
401,1,Emissary,Saratoga - Bridge,Ops Officer,,forty
401,1,Emissary,Saratoga - Bridge,Ops Officer,,two
401,1,Emissary,Saratoga - Bridge,Ops Officer,,.
