Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",jadzia
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",","
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",maybe
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",we
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",could
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",get
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",together
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",later
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",for
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",dinner
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",?
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",or
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",a
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",drink
401,1,Emissary,promenade,Bashir,"young, Middle-Eastern male",?
401,1,Emissary,infirmary,Bashir,,this
401,1,Emissary,infirmary,Bashir,,'ll
401,1,Emissary,infirmary,Bashir,,be
401,1,Emissary,infirmary,Bashir,,perfect
401,1,Emissary,infirmary,Bashir,,.
401,1,Emissary,infirmary,Bashir,,real
401,1,Emissary,infirmary,Bashir,,frontier
401,1,Emissary,infirmary,Bashir,,medicine
401,1,Emissary,infirmary,Bashir,,.
401,1,Emissary,infirmary,Bashir,,major
401,1,Emissary,infirmary,Bashir,,","
401,1,Emissary,infirmary,Bashir,,i
401,1,Emissary,infirmary,Bashir,,had
401,1,Emissary,infirmary,Bashir,,my
401,1,Emissary,infirmary,Bashir,,choice
401,1,Emissary,infirmary,Bashir,,of
401,1,Emissary,infirmary,Bashir,,any
401,1,Emissary,infirmary,Bashir,,job
401,1,Emissary,infirmary,Bashir,,in
401,1,Emissary,infirmary,Bashir,,the
401,1,Emissary,infirmary,Bashir,,fleet
401,1,Emissary,infirmary,Bashir,,.
401,1,Emissary,infirmary,Bashir,,i
401,1,Emissary,infirmary,Bashir,,did
401,1,Emissary,infirmary,Bashir,,n't
401,1,Emissary,infirmary,Bashir,,want
401,1,Emissary,infirmary,Bashir,,some
401,1,Emissary,infirmary,Bashir,,cushy
401,1,Emissary,infirmary,Bashir,,job
401,1,Emissary,infirmary,Bashir,,or
401,1,Emissary,infirmary,Bashir,,a
401,1,Emissary,infirmary,Bashir,,research
401,1,Emissary,infirmary,Bashir,,grant
401,1,Emissary,infirmary,Bashir,,.
401,1,Emissary,infirmary,Bashir,,i
401,1,Emissary,infirmary,Bashir,,wanted
