Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,promenade,Dax,a Trill female,i
401,1,Emissary,promenade,Dax,a Trill female,'d
401,1,Emissary,promenade,Dax,a Trill female,be
401,1,Emissary,promenade,Dax,a Trill female,delighted
401,1,Emissary,promenade,Dax,a Trill female,.
401,1,Emissary,promenade,Dax,,he
401,1,Emissary,promenade,Dax,,'s
401,1,Emissary,promenade,Dax,,twenty-seven
401,1,Emissary,promenade,Dax,,","
401,1,Emissary,promenade,Dax,,i
401,1,Emissary,promenade,Dax,,'m
401,1,Emissary,promenade,Dax,,twenty-eight
401,1,Emissary,promenade,Dax,,.
401,1,Emissary,promenade,Dax,,yes
401,1,Emissary,promenade,Dax,,","
401,1,Emissary,promenade,Dax,,but
401,1,Emissary,promenade,Dax,,benjamin
401,1,Emissary,promenade,Dax,,","
401,1,Emissary,promenade,Dax,,he
401,1,Emissary,promenade,Dax,,knows
401,1,Emissary,promenade,Dax,,i
401,1,Emissary,promenade,Dax,,'m
401,1,Emissary,promenade,Dax,,a
401,1,Emissary,promenade,Dax,,trill
401,1,Emissary,promenade,Dax,,.
401,1,Emissary,promenade,Dax,,he
401,1,Emissary,promenade,Dax,,finds
401,1,Emissary,promenade,Dax,,it
401,1,Emissary,promenade,Dax,,fascinating
401,1,Emissary,promenade,Dax,,.
401,1,Emissary,promenade,Dax,,he
401,1,Emissary,promenade,Dax,,'s
401,1,Emissary,promenade,Dax,,never
401,1,Emissary,promenade,Dax,,met
401,1,Emissary,promenade,Dax,,a
401,1,Emissary,promenade,Dax,,joined
401,1,Emissary,promenade,Dax,,species
401,1,Emissary,promenade,Dax,,before
401,1,Emissary,promenade,Dax,,.
401,1,Emissary,promenade,Dax,,perhaps
401,1,Emissary,promenade,Dax,,not
401,1,Emissary,promenade,Dax,,.
401,1,Emissary,promenade,Dax,,do
401,1,Emissary,promenade,Dax,,n't
401,1,Emissary,promenade,Dax,,be
401,1,Emissary,promenade,Dax,,ridiculous
401,1,Emissary,promenade,Dax,,.
401,1,Emissary,promenade,Dax,,i
401,1,Emissary,promenade,Dax,,'m
401,1,Emissary,promenade,Dax,,still
401,1,Emissary,promenade,Dax,,the
401,1,Emissary,promenade,Dax,,same
401,1,Emissary,promenade,Dax,,old
401,1,Emissary,promenade,Dax,,dax
401,1,Emissary,promenade,Dax,,.
401,1,Emissary,promenade,Dax,,more
401,1,Emissary,promenade,Dax,,or
401,1,Emissary,promenade,Dax,,less
401,1,Emissary,promenade,Dax,,.
401,1,Emissary,laboratory,Dax,,that
401,1,Emissary,laboratory,Dax,,should
401,1,Emissary,laboratory,Dax,,give
401,1,Emissary,laboratory,Dax,,us
401,1,Emissary,laboratory,Dax,,something
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,laboratory,Dax,,benjamin
401,1,Emissary,laboratory,Dax,,","
401,1,Emissary,laboratory,Dax,,i
401,1,Emissary,laboratory,Dax,,was
401,1,Emissary,laboratory,Dax,,happy
401,1,Emissary,laboratory,Dax,,when
401,1,Emissary,laboratory,Dax,,i
401,1,Emissary,laboratory,Dax,,heard
401,1,Emissary,laboratory,Dax,,you
401,1,Emissary,laboratory,Dax,,accepted
401,1,Emissary,laboratory,Dax,,this
401,1,Emissary,laboratory,Dax,,assignment
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,laboratory,Dax,,i
401,1,Emissary,laboratory,Dax,,'ve
401,1,Emissary,laboratory,Dax,,been
401,1,Emissary,laboratory,Dax,,worried
401,1,Emissary,laboratory,Dax,,about
401,1,Emissary,laboratory,Dax,,you
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,laboratory,Dax,,computer
401,1,Emissary,laboratory,Dax,,","
401,1,Emissary,laboratory,Dax,,create
401,1,Emissary,laboratory,Dax,,a
401,1,Emissary,laboratory,Dax,,data
401,1,Emissary,laboratory,Dax,,base
401,1,Emissary,laboratory,Dax,,for
401,1,Emissary,laboratory,Dax,,all
401,1,Emissary,laboratory,Dax,,historical
401,1,Emissary,laboratory,Dax,,references
401,1,Emissary,laboratory,Dax,,to
401,1,Emissary,laboratory,Dax,,the
401,1,Emissary,laboratory,Dax,,orbs
401,1,Emissary,laboratory,Dax,,","
401,1,Emissary,laboratory,Dax,,including
401,1,Emissary,laboratory,Dax,,all
401,1,Emissary,laboratory,Dax,,reports
401,1,Emissary,laboratory,Dax,,of
401,1,Emissary,laboratory,Dax,,any
401,1,Emissary,laboratory,Dax,,unexplained
401,1,Emissary,laboratory,Dax,,phenomena
401,1,Emissary,laboratory,Dax,,in
401,1,Emissary,laboratory,Dax,,bajoran
401,1,Emissary,laboratory,Dax,,space
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,laboratory,Dax,,ten
401,1,Emissary,laboratory,Dax,,millennia
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,vision - operating room,Dax,,curzon
401,1,Emissary,vision - operating room,Dax,,.
401,1,Emissary,laboratory,Dax,,what
401,1,Emissary,laboratory,Dax,,do
401,1,Emissary,laboratory,Dax,,you
401,1,Emissary,laboratory,Dax,,know
401,1,Emissary,laboratory,Dax,,about
401,1,Emissary,laboratory,Dax,,the
401,1,Emissary,laboratory,Dax,,denorios
401,1,Emissary,laboratory,Dax,,belt
401,1,Emissary,laboratory,Dax,,?
401,1,Emissary,laboratory,Dax,,in
401,1,Emissary,laboratory,Dax,,the
401,1,Emissary,laboratory,Dax,,twenty-second
401,1,Emissary,laboratory,Dax,,century
401,1,Emissary,laboratory,Dax,,","
401,1,Emissary,laboratory,Dax,,a
401,1,Emissary,laboratory,Dax,,ship
401,1,Emissary,laboratory,Dax,,carrying
401,1,Emissary,laboratory,Dax,,kai
401,1,Emissary,laboratory,Dax,,taluno
401,1,Emissary,laboratory,Dax,,was
401,1,Emissary,laboratory,Dax,,disabled
401,1,Emissary,laboratory,Dax,,for
401,1,Emissary,laboratory,Dax,,several
401,1,Emissary,laboratory,Dax,,days
401,1,Emissary,laboratory,Dax,,in
401,1,Emissary,laboratory,Dax,,the
401,1,Emissary,laboratory,Dax,,denorios
401,1,Emissary,laboratory,Dax,,belt
401,1,Emissary,laboratory,Dax,,","
401,1,Emissary,laboratory,Dax,,where
401,1,Emissary,laboratory,Dax,,he
401,1,Emissary,laboratory,Dax,,claims
401,1,Emissary,laboratory,Dax,,he
401,1,Emissary,laboratory,Dax,,had
401,1,Emissary,laboratory,Dax,,a
401,1,Emissary,laboratory,Dax,,vision
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,laboratory,Dax,,not
401,1,Emissary,laboratory,Dax,,quite
401,1,Emissary,laboratory,Dax,,","
401,1,Emissary,laboratory,Dax,,but
401,1,Emissary,laboratory,Dax,,he
401,1,Emissary,laboratory,Dax,,did
401,1,Emissary,laboratory,Dax,,say
401,1,Emissary,laboratory,Dax,,that
401,1,Emissary,laboratory,Dax,,the
401,1,Emissary,laboratory,Dax,,heavens
401,1,Emissary,laboratory,Dax,,opened
401,1,Emissary,laboratory,Dax,,up
401,1,Emissary,laboratory,Dax,,and
401,1,Emissary,laboratory,Dax,,nearly
401,1,Emissary,laboratory,Dax,,swallowed
401,1,Emissary,laboratory,Dax,,his
401,1,Emissary,laboratory,Dax,,ship
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,laboratory,Dax,,that
401,1,Emissary,laboratory,Dax,,'s
401,1,Emissary,laboratory,Dax,,not
401,1,Emissary,laboratory,Dax,,all
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,laboratory,Dax,,at
401,1,Emissary,laboratory,Dax,,least
401,1,Emissary,laboratory,Dax,,five
401,1,Emissary,laboratory,Dax,,of
401,1,Emissary,laboratory,Dax,,the
401,1,Emissary,laboratory,Dax,,orbs
401,1,Emissary,laboratory,Dax,,were
401,1,Emissary,laboratory,Dax,,found
401,1,Emissary,laboratory,Dax,,in
401,1,Emissary,laboratory,Dax,,the
401,1,Emissary,laboratory,Dax,,denorios
401,1,Emissary,laboratory,Dax,,belt
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,laboratory,Dax,,there
401,1,Emissary,laboratory,Dax,,were
401,1,Emissary,laboratory,Dax,,also
401,1,Emissary,laboratory,Dax,,been
401,1,Emissary,laboratory,Dax,,twenty
401,1,Emissary,laboratory,Dax,,three
401,1,Emissary,laboratory,Dax,,navigational
401,1,Emissary,laboratory,Dax,,reports
401,1,Emissary,laboratory,Dax,,over
401,1,Emissary,laboratory,Dax,,the
401,1,Emissary,laboratory,Dax,,years
401,1,Emissary,laboratory,Dax,,of
401,1,Emissary,laboratory,Dax,,unusually
401,1,Emissary,laboratory,Dax,,severe
401,1,Emissary,laboratory,Dax,,neutrino
401,1,Emissary,laboratory,Dax,,disturbances
401,1,Emissary,laboratory,Dax,,in
401,1,Emissary,laboratory,Dax,,the
401,1,Emissary,laboratory,Dax,,same
401,1,Emissary,laboratory,Dax,,area
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,laboratory,Dax,,i
401,1,Emissary,laboratory,Dax,,'ve
401,1,Emissary,laboratory,Dax,,correlated
401,1,Emissary,laboratory,Dax,,all
401,1,Emissary,laboratory,Dax,,these
401,1,Emissary,laboratory,Dax,,reports
401,1,Emissary,laboratory,Dax,,in
401,1,Emissary,laboratory,Dax,,one
401,1,Emissary,laboratory,Dax,,analysis
401,1,Emissary,laboratory,Dax,,grid
401,1,Emissary,laboratory,Dax,,.
401,1,Emissary,laboratory,Dax,,our
401,1,Emissary,laboratory,Dax,,celestial
401,1,Emissary,laboratory,Dax,,temple
401,1,Emissary,laboratory,Dax,,?
401,1,Emissary,runabout rio grande,Dax,,approaching
401,1,Emissary,runabout rio grande,Dax,,grid
401,1,Emissary,runabout rio grande,Dax,,perimeter
401,1,Emissary,runabout rio grande,Dax,,.
401,1,Emissary,runabout rio grande,Dax,,computer
401,1,Emissary,runabout rio grande,Dax,,","
401,1,Emissary,runabout rio grande,Dax,,give
401,1,Emissary,runabout rio grande,Dax,,me
401,1,Emissary,runabout rio grande,Dax,,visual
401,1,Emissary,runabout rio grande,Dax,,bearing
401,1,Emissary,runabout rio grande,Dax,,two
401,1,Emissary,runabout rio grande,Dax,,three
401,1,Emissary,runabout rio grande,Dax,,mark
401,1,Emissary,runabout rio grande,Dax,,two
401,1,Emissary,runabout rio grande,Dax,,one
401,1,Emissary,runabout rio grande,Dax,,seven
401,1,Emissary,runabout rio grande,Dax,,.
401,1,Emissary,runabout rio grande,Dax,,range
401,1,Emissary,runabout rio grande,Dax,,thirty
401,1,Emissary,runabout rio grande,Dax,,one
401,1,Emissary,runabout rio grande,Dax,,hundred
401,1,Emissary,runabout rio grande,Dax,,kilometres
401,1,Emissary,runabout rio grande,Dax,,.
401,1,Emissary,ops,Dax,,sensors
401,1,Emissary,ops,Dax,,are
401,1,Emissary,ops,Dax,,picking
401,1,Emissary,ops,Dax,,up
401,1,Emissary,ops,Dax,,unusually
401,1,Emissary,ops,Dax,,high
401,1,Emissary,ops,Dax,,proton
401,1,Emissary,ops,Dax,,counts
401,1,Emissary,ops,Dax,,.
401,1,Emissary,runabout rio grande,Dax,,all
401,1,Emissary,runabout rio grande,Dax,,external
401,1,Emissary,runabout rio grande,Dax,,wave
401,1,Emissary,runabout rio grande,Dax,,intensities
401,1,Emissary,runabout rio grande,Dax,,are
401,1,Emissary,runabout rio grande,Dax,,increasing
401,1,Emissary,runabout rio grande,Dax,,rapidly
401,1,Emissary,runabout rio grande,Dax,,","
401,1,Emissary,runabout rio grande,Dax,,but
401,1,Emissary,runabout rio grande,Dax,,checking
401,1,Emissary,runabout rio grande,Dax,,.
401,1,Emissary,runabout rio grande,Dax,,confirmed
401,1,Emissary,runabout rio grande,Dax,,.
401,1,Emissary,runabout rio grande,Dax,,there
401,1,Emissary,runabout rio grande,Dax,,is
401,1,Emissary,runabout rio grande,Dax,,no
401,1,Emissary,runabout rio grande,Dax,,corresponding
401,1,Emissary,runabout rio grande,Dax,,increase
401,1,Emissary,runabout rio grande,Dax,,inside
401,1,Emissary,runabout rio grande,Dax,,the
401,1,Emissary,runabout rio grande,Dax,,cabin
401,1,Emissary,runabout rio grande,Dax,,.
401,1,Emissary,runabout rio grande,Dax,,how
401,1,Emissary,runabout rio grande,Dax,,is
401,1,Emissary,runabout rio grande,Dax,,that
401,1,Emissary,runabout rio grande,Dax,,possible
401,1,Emissary,runabout rio grande,Dax,,?
401,1,Emissary,runabout rio grande,Dax,,we
401,1,Emissary,runabout rio grande,Dax,,'ve
401,1,Emissary,runabout rio grande,Dax,,lost
401,1,Emissary,runabout rio grande,Dax,,all
401,1,Emissary,runabout rio grande,Dax,,contact
401,1,Emissary,runabout rio grande,Dax,,with
