Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,commander's office,Dukat,,good
401,1,Emissary,commander's office,Dukat,,day
401,1,Emissary,commander's office,Dukat,,","
401,1,Emissary,commander's office,Dukat,,commander
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,excuse
401,1,Emissary,commander's office,Dukat,,my
401,1,Emissary,commander's office,Dukat,,presumption
401,1,Emissary,commander's office,Dukat,,","
401,1,Emissary,commander's office,Dukat,,but
401,1,Emissary,commander's office,Dukat,,this
401,1,Emissary,commander's office,Dukat,,was
401,1,Emissary,commander's office,Dukat,,my
401,1,Emissary,commander's office,Dukat,,office
401,1,Emissary,commander's office,Dukat,,only
401,1,Emissary,commander's office,Dukat,,two
401,1,Emissary,commander's office,Dukat,,weeks
401,1,Emissary,commander's office,Dukat,,ago
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,i
401,1,Emissary,commander's office,Dukat,,'m
401,1,Emissary,commander's office,Dukat,,not
401,1,Emissary,commander's office,Dukat,,used
401,1,Emissary,commander's office,Dukat,,to
401,1,Emissary,commander's office,Dukat,,being
401,1,Emissary,commander's office,Dukat,,on
401,1,Emissary,commander's office,Dukat,,this
401,1,Emissary,commander's office,Dukat,,side
401,1,Emissary,commander's office,Dukat,,of
401,1,Emissary,commander's office,Dukat,,the
401,1,Emissary,commander's office,Dukat,,desk
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,i
401,1,Emissary,commander's office,Dukat,,'ll
401,1,Emissary,commander's office,Dukat,,be
401,1,Emissary,commander's office,Dukat,,honest
401,1,Emissary,commander's office,Dukat,,with
401,1,Emissary,commander's office,Dukat,,you
401,1,Emissary,commander's office,Dukat,,","
401,1,Emissary,commander's office,Dukat,,commander
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,i
401,1,Emissary,commander's office,Dukat,,miss
401,1,Emissary,commander's office,Dukat,,this
401,1,Emissary,commander's office,Dukat,,office
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,i
401,1,Emissary,commander's office,Dukat,,was
401,1,Emissary,commander's office,Dukat,,not
401,1,Emissary,commander's office,Dukat,,happy
401,1,Emissary,commander's office,Dukat,,to
401,1,Emissary,commander's office,Dukat,,leave
401,1,Emissary,commander's office,Dukat,,it
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,you
401,1,Emissary,commander's office,Dukat,,'re
401,1,Emissary,commander's office,Dukat,,very
401,1,Emissary,commander's office,Dukat,,gracious
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,and
401,1,Emissary,commander's office,Dukat,,allow
401,1,Emissary,commander's office,Dukat,,me
401,1,Emissary,commander's office,Dukat,,to
401,1,Emissary,commander's office,Dukat,,assure
401,1,Emissary,commander's office,Dukat,,you
401,1,Emissary,commander's office,Dukat,,that
401,1,Emissary,commander's office,Dukat,,we
401,1,Emissary,commander's office,Dukat,,only
401,1,Emissary,commander's office,Dukat,,want
401,1,Emissary,commander's office,Dukat,,to
401,1,Emissary,commander's office,Dukat,,be
401,1,Emissary,commander's office,Dukat,,helpful
401,1,Emissary,commander's office,Dukat,,in
401,1,Emissary,commander's office,Dukat,,this
401,1,Emissary,commander's office,Dukat,,difficult
401,1,Emissary,commander's office,Dukat,,transition
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,you
401,1,Emissary,commander's office,Dukat,,'re
401,1,Emissary,commander's office,Dukat,,far
401,1,Emissary,commander's office,Dukat,,from
401,1,Emissary,commander's office,Dukat,,the
401,1,Emissary,commander's office,Dukat,,federation
401,1,Emissary,commander's office,Dukat,,fleet
401,1,Emissary,commander's office,Dukat,,","
401,1,Emissary,commander's office,Dukat,,alone
401,1,Emissary,commander's office,Dukat,,in
401,1,Emissary,commander's office,Dukat,,this
401,1,Emissary,commander's office,Dukat,,remote
401,1,Emissary,commander's office,Dukat,,outpost
401,1,Emissary,commander's office,Dukat,,","
401,1,Emissary,commander's office,Dukat,,with
401,1,Emissary,commander's office,Dukat,,poor
401,1,Emissary,commander's office,Dukat,,defence
401,1,Emissary,commander's office,Dukat,,systems
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,your
401,1,Emissary,commander's office,Dukat,,cardassian
401,1,Emissary,commander's office,Dukat,,neighbours
401,1,Emissary,commander's office,Dukat,,will
401,1,Emissary,commander's office,Dukat,,be
401,1,Emissary,commander's office,Dukat,,quick
401,1,Emissary,commander's office,Dukat,,to
401,1,Emissary,commander's office,Dukat,,respond
401,1,Emissary,commander's office,Dukat,,to
401,1,Emissary,commander's office,Dukat,,any
401,1,Emissary,commander's office,Dukat,,problems
401,1,Emissary,commander's office,Dukat,,you
401,1,Emissary,commander's office,Dukat,,might
401,1,Emissary,commander's office,Dukat,,have
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,so
401,1,Emissary,commander's office,Dukat,,","
401,1,Emissary,commander's office,Dukat,,tell
401,1,Emissary,commander's office,Dukat,,me
401,1,Emissary,commander's office,Dukat,,","
401,1,Emissary,commander's office,Dukat,,what
401,1,Emissary,commander's office,Dukat,,did
401,1,Emissary,commander's office,Dukat,,you
401,1,Emissary,commander's office,Dukat,,think
401,1,Emissary,commander's office,Dukat,,of
401,1,Emissary,commander's office,Dukat,,kai
401,1,Emissary,commander's office,Dukat,,opaka
401,1,Emissary,commander's office,Dukat,,?
401,1,Emissary,commander's office,Dukat,,i
401,1,Emissary,commander's office,Dukat,,know
401,1,Emissary,commander's office,Dukat,,you
401,1,Emissary,commander's office,Dukat,,went
401,1,Emissary,commander's office,Dukat,,to
401,1,Emissary,commander's office,Dukat,,the
401,1,Emissary,commander's office,Dukat,,surface
401,1,Emissary,commander's office,Dukat,,to
401,1,Emissary,commander's office,Dukat,,see
401,1,Emissary,commander's office,Dukat,,her
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,i
401,1,Emissary,commander's office,Dukat,,understand
401,1,Emissary,commander's office,Dukat,,you
401,1,Emissary,commander's office,Dukat,,brought
401,1,Emissary,commander's office,Dukat,,back
401,1,Emissary,commander's office,Dukat,,an
401,1,Emissary,commander's office,Dukat,,orb
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,we
401,1,Emissary,commander's office,Dukat,,thought
401,1,Emissary,commander's office,Dukat,,we
401,1,Emissary,commander's office,Dukat,,had
401,1,Emissary,commander's office,Dukat,,all
401,1,Emissary,commander's office,Dukat,,of
401,1,Emissary,commander's office,Dukat,,them
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,perhaps
401,1,Emissary,commander's office,Dukat,,we
401,1,Emissary,commander's office,Dukat,,could
401,1,Emissary,commander's office,Dukat,,have
401,1,Emissary,commander's office,Dukat,,an
401,1,Emissary,commander's office,Dukat,,exchange
401,1,Emissary,commander's office,Dukat,,of
401,1,Emissary,commander's office,Dukat,,information
401,1,Emissary,commander's office,Dukat,,","
401,1,Emissary,commander's office,Dukat,,pool
401,1,Emissary,commander's office,Dukat,,our
401,1,Emissary,commander's office,Dukat,,resources
401,1,Emissary,commander's office,Dukat,,?
401,1,Emissary,commander's office,Dukat,,we
401,1,Emissary,commander's office,Dukat,,will
401,1,Emissary,commander's office,Dukat,,be
401,1,Emissary,commander's office,Dukat,,in
401,1,Emissary,commander's office,Dukat,,close
401,1,Emissary,commander's office,Dukat,,proximity
401,1,Emissary,commander's office,Dukat,,should
401,1,Emissary,commander's office,Dukat,,you
401,1,Emissary,commander's office,Dukat,,wish
401,1,Emissary,commander's office,Dukat,,to
401,1,Emissary,commander's office,Dukat,,reconsider
401,1,Emissary,commander's office,Dukat,,my
401,1,Emissary,commander's office,Dukat,,suggestion
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,in
401,1,Emissary,commander's office,Dukat,,the
401,1,Emissary,commander's office,Dukat,,meantime
401,1,Emissary,commander's office,Dukat,,","
401,1,Emissary,commander's office,Dukat,,i
401,1,Emissary,commander's office,Dukat,,assume
401,1,Emissary,commander's office,Dukat,,you
401,1,Emissary,commander's office,Dukat,,have
401,1,Emissary,commander's office,Dukat,,no
401,1,Emissary,commander's office,Dukat,,objection
401,1,Emissary,commander's office,Dukat,,to
401,1,Emissary,commander's office,Dukat,,my
401,1,Emissary,commander's office,Dukat,,men
401,1,Emissary,commander's office,Dukat,,enjoying
401,1,Emissary,commander's office,Dukat,,the
401,1,Emissary,commander's office,Dukat,,hospitality
401,1,Emissary,commander's office,Dukat,,of
401,1,Emissary,commander's office,Dukat,,the
401,1,Emissary,commander's office,Dukat,,promenade
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,commander's office,Dukat,,commander
401,1,Emissary,commander's office,Dukat,,.
401,1,Emissary,runabout yangtze kiang,Dukat,,yes
401,1,Emissary,runabout yangtze kiang,Dukat,,","
401,1,Emissary,runabout yangtze kiang,Dukat,,major
401,1,Emissary,runabout yangtze kiang,Dukat,,?
401,1,Emissary,runabout yangtze kiang,Dukat,,wormhole
401,1,Emissary,runabout yangtze kiang,Dukat,,?
401,1,Emissary,runabout yangtze kiang,Dukat,,what
401,1,Emissary,runabout yangtze kiang,Dukat,,wormhole
401,1,Emissary,runabout yangtze kiang,Dukat,,is
401,1,Emissary,runabout yangtze kiang,Dukat,,that
401,1,Emissary,runabout yangtze kiang,Dukat,,?
401,1,Emissary,runabout yangtze kiang,Dukat,,perhaps
401,1,Emissary,runabout yangtze kiang,Dukat,,they
401,1,Emissary,runabout yangtze kiang,Dukat,,will
401,1,Emissary,runabout yangtze kiang,Dukat,,be
401,1,Emissary,runabout yangtze kiang,Dukat,,less
401,1,Emissary,runabout yangtze kiang,Dukat,,hostile
401,1,Emissary,runabout yangtze kiang,Dukat,,to
401,1,Emissary,runabout yangtze kiang,Dukat,,cardassians
401,1,Emissary,runabout yangtze kiang,Dukat,,than
401,1,Emissary,runabout yangtze kiang,Dukat,,to
401,1,Emissary,runabout yangtze kiang,Dukat,,humans
401,1,Emissary,runabout yangtze kiang,Dukat,,.
401,1,Emissary,runabout yangtze kiang,Dukat,,really
401,1,Emissary,runabout yangtze kiang,Dukat,,?
401,1,Emissary,runabout yangtze kiang,Dukat,,and
401,1,Emissary,runabout yangtze kiang,Dukat,,i
401,1,Emissary,runabout yangtze kiang,Dukat,,suppose
401,1,Emissary,runabout yangtze kiang,Dukat,,you
401,1,Emissary,runabout yangtze kiang,Dukat,,'d
401,1,Emissary,runabout yangtze kiang,Dukat,,also
401,1,Emissary,runabout yangtze kiang,Dukat,,tell
401,1,Emissary,runabout yangtze kiang,Dukat,,me
401,1,Emissary,runabout yangtze kiang,Dukat,,these
401,1,Emissary,runabout yangtze kiang,Dukat,,are
401,1,Emissary,runabout yangtze kiang,Dukat,,not
401,1,Emissary,runabout yangtze kiang,Dukat,,the
401,1,Emissary,runabout yangtze kiang,Dukat,,lifeforms
401,1,Emissary,runabout yangtze kiang,Dukat,,that
401,1,Emissary,runabout yangtze kiang,Dukat,,have
401,1,Emissary,runabout yangtze kiang,Dukat,,sent
401,1,Emissary,runabout yangtze kiang,Dukat,,the
401,1,Emissary,runabout yangtze kiang,Dukat,,orbs
401,1,Emissary,runabout yangtze kiang,Dukat,,","
401,1,Emissary,runabout yangtze kiang,Dukat,,or
401,1,Emissary,runabout yangtze kiang,Dukat,,that
401,1,Emissary,runabout yangtze kiang,Dukat,,your
401,1,Emissary,runabout yangtze kiang,Dukat,,commander
401,1,Emissary,runabout yangtze kiang,Dukat,,sisko
401,1,Emissary,runabout yangtze kiang,Dukat,,is
401,1,Emissary,runabout yangtze kiang,Dukat,,not
401,1,Emissary,runabout yangtze kiang,Dukat,,negotiating
401,1,Emissary,runabout yangtze kiang,Dukat,,for
401,1,Emissary,runabout yangtze kiang,Dukat,,their
401,1,Emissary,runabout yangtze kiang,Dukat,,technology
401,1,Emissary,runabout yangtze kiang,Dukat,,.
401,1,Emissary,runabout yangtze kiang,Dukat,,i
401,1,Emissary,runabout yangtze kiang,Dukat,,thank
401,1,Emissary,runabout yangtze kiang,Dukat,,you
401,1,Emissary,runabout yangtze kiang,Dukat,,for
401,1,Emissary,runabout yangtze kiang,Dukat,,your
401,1,Emissary,runabout yangtze kiang,Dukat,,concern
401,1,Emissary,runabout yangtze kiang,Dukat,,","
401,1,Emissary,runabout yangtze kiang,Dukat,,but
401,1,Emissary,runabout yangtze kiang,Dukat,,i
401,1,Emissary,runabout yangtze kiang,Dukat,,think
401,1,Emissary,runabout yangtze kiang,Dukat,,we
401,1,Emissary,runabout yangtze kiang,Dukat,,'ll
401,1,Emissary,runabout yangtze kiang,Dukat,,see
401,1,Emissary,runabout yangtze kiang,Dukat,,for
401,1,Emissary,runabout yangtze kiang,Dukat,,ourselves
401,1,Emissary,runabout yangtze kiang,Dukat,,.
419,1,Duet,commander's office,Dukat,,commander
419,1,Duet,commander's office,Dukat,,","
419,1,Duet,commander's office,Dukat,,i
419,1,Duet,commander's office,Dukat,,was
419,1,Duet,commander's office,Dukat,,led
419,1,Duet,commander's office,Dukat,,to
419,1,Duet,commander's office,Dukat,,believe
419,1,Duet,commander's office,Dukat,,the
419,1,Duet,commander's office,Dukat,,federation
419,1,Duet,commander's office,Dukat,,guarantees
419,1,Duet,commander's office,Dukat,,the
419,1,Duet,commander's office,Dukat,,safe
419,1,Duet,commander's office,Dukat,,and
419,1,Duet,commander's office,Dukat,,unrestricted
419,1,Duet,commander's office,Dukat,,passage
419,1,Duet,commander's office,Dukat,,of
419,1,Duet,commander's office,Dukat,,all
419,1,Duet,commander's office,Dukat,,travellers
419,1,Duet,commander's office,Dukat,,visiting
419,1,Duet,commander's office,Dukat,,your
419,1,Duet,commander's office,Dukat,,station
419,1,Duet,commander's office,Dukat,,.
419,1,Duet,commander's office,Dukat,,then
419,1,Duet,commander's office,Dukat,,how
