Episode,Season,Title,Location,Speaker,Context,Token
404,1,Past Prologue,replimat,Garak,,it
404,1,Past Prologue,replimat,Garak,,'s
404,1,Past Prologue,replimat,Garak,,doctor
404,1,Past Prologue,replimat,Garak,,bashir
404,1,Past Prologue,replimat,Garak,,","
404,1,Past Prologue,replimat,Garak,,is
404,1,Past Prologue,replimat,Garak,,n't
404,1,Past Prologue,replimat,Garak,,it
404,1,Past Prologue,replimat,Garak,,?
404,1,Past Prologue,replimat,Garak,,of
404,1,Past Prologue,replimat,Garak,,course
404,1,Past Prologue,replimat,Garak,,it
404,1,Past Prologue,replimat,Garak,,is
404,1,Past Prologue,replimat,Garak,,.
404,1,Past Prologue,replimat,Garak,,may
404,1,Past Prologue,replimat,Garak,,i
404,1,Past Prologue,replimat,Garak,,introduce
404,1,Past Prologue,replimat,Garak,,myself
404,1,Past Prologue,replimat,Garak,,?
404,1,Past Prologue,replimat,Garak,,my
404,1,Past Prologue,replimat,Garak,,name
404,1,Past Prologue,replimat,Garak,,is
404,1,Past Prologue,replimat,Garak,,garak
404,1,Past Prologue,replimat,Garak,,.
404,1,Past Prologue,replimat,Garak,,cardassian
404,1,Past Prologue,replimat,Garak,,by
404,1,Past Prologue,replimat,Garak,,birth
404,1,Past Prologue,replimat,Garak,,","
404,1,Past Prologue,replimat,Garak,,obviously
404,1,Past Prologue,replimat,Garak,,.
404,1,Past Prologue,replimat,Garak,,the
404,1,Past Prologue,replimat,Garak,,only
404,1,Past Prologue,replimat,Garak,,one
404,1,Past Prologue,replimat,Garak,,of
404,1,Past Prologue,replimat,Garak,,us
404,1,Past Prologue,replimat,Garak,,left
404,1,Past Prologue,replimat,Garak,,on
404,1,Past Prologue,replimat,Garak,,this
404,1,Past Prologue,replimat,Garak,,station
404,1,Past Prologue,replimat,Garak,,","
404,1,Past Prologue,replimat,Garak,,as
404,1,Past Prologue,replimat,Garak,,a
404,1,Past Prologue,replimat,Garak,,matter
404,1,Past Prologue,replimat,Garak,,of
404,1,Past Prologue,replimat,Garak,,fact
404,1,Past Prologue,replimat,Garak,,","
404,1,Past Prologue,replimat,Garak,,so
404,1,Past Prologue,replimat,Garak,,i
404,1,Past Prologue,replimat,Garak,,do
404,1,Past Prologue,replimat,Garak,,appreciate
404,1,Past Prologue,replimat,Garak,,making
404,1,Past Prologue,replimat,Garak,,new
404,1,Past Prologue,replimat,Garak,,friends
404,1,Past Prologue,replimat,Garak,,whenever
404,1,Past Prologue,replimat,Garak,,i
404,1,Past Prologue,replimat,Garak,,can
404,1,Past Prologue,replimat,Garak,,.
404,1,Past Prologue,replimat,Garak,,you
404,1,Past Prologue,replimat,Garak,,are
404,1,Past Prologue,replimat,Garak,,new
404,1,Past Prologue,replimat,Garak,,to
404,1,Past Prologue,replimat,Garak,,this
404,1,Past Prologue,replimat,Garak,,station
404,1,Past Prologue,replimat,Garak,,","
404,1,Past Prologue,replimat,Garak,,i
404,1,Past Prologue,replimat,Garak,,believe
404,1,Past Prologue,replimat,Garak,,.
404,1,Past Prologue,replimat,Garak,,ah
404,1,Past Prologue,replimat,Garak,,","
404,1,Past Prologue,replimat,Garak,,you
404,1,Past Prologue,replimat,Garak,,know
404,1,Past Prologue,replimat,Garak,,of
404,1,Past Prologue,replimat,Garak,,me
404,1,Past Prologue,replimat,Garak,,then
404,1,Past Prologue,replimat,Garak,,.
404,1,Past Prologue,replimat,Garak,,what
404,1,Past Prologue,replimat,Garak,,a
404,1,Past Prologue,replimat,Garak,,thoughtful
404,1,Past Prologue,replimat,Garak,,young
404,1,Past Prologue,replimat,Garak,,man
404,1,Past Prologue,replimat,Garak,,.
404,1,Past Prologue,replimat,Garak,,how
404,1,Past Prologue,replimat,Garak,,nice
404,1,Past Prologue,replimat,Garak,,that
404,1,Past Prologue,replimat,Garak,,we
404,1,Past Prologue,replimat,Garak,,'ve
404,1,Past Prologue,replimat,Garak,,met
404,1,Past Prologue,replimat,Garak,,.
404,1,Past Prologue,replimat,Garak,,you
404,1,Past Prologue,replimat,Garak,,do
404,1,Past Prologue,replimat,Garak,,n't
404,1,Past Prologue,replimat,Garak,,say
404,1,Past Prologue,replimat,Garak,,?
