Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,ops,Kira,,they
401,1,Emissary,ops,Kira,,'ve
401,1,Emissary,ops,Kira,,become
401,1,Emissary,ops,Kira,,meaningless
401,1,Emissary,ops,Kira,,.
401,1,Emissary,commander's office,Kira,,you
401,1,Emissary,commander's office,Kira,,are
401,1,Emissary,commander's office,Kira,,throwing
401,1,Emissary,commander's office,Kira,,it
401,1,Emissary,commander's office,Kira,,all
401,1,Emissary,commander's office,Kira,,away
401,1,Emissary,commander's office,Kira,,!
401,1,Emissary,commander's office,Kira,,all
401,1,Emissary,commander's office,Kira,,of
401,1,Emissary,commander's office,Kira,,you
401,1,Emissary,commander's office,Kira,,!
401,1,Emissary,commander's office,Kira,,well
401,1,Emissary,commander's office,Kira,,then
401,1,Emissary,commander's office,Kira,,","
401,1,Emissary,commander's office,Kira,,do
401,1,Emissary,commander's office,Kira,,n't
401,1,Emissary,commander's office,Kira,,ask
401,1,Emissary,commander's office,Kira,,my
401,1,Emissary,commander's office,Kira,,opinion
401,1,Emissary,commander's office,Kira,,next
401,1,Emissary,commander's office,Kira,,time
401,1,Emissary,commander's office,Kira,,!
401,1,Emissary,commander's office,Kira,,yes
401,1,Emissary,commander's office,Kira,,?
401,1,Emissary,commander's office,Kira,,i
401,1,Emissary,commander's office,Kira,,suppose
401,1,Emissary,commander's office,Kira,,you
401,1,Emissary,commander's office,Kira,,want
401,1,Emissary,commander's office,Kira,,the
401,1,Emissary,commander's office,Kira,,office
401,1,Emissary,commander's office,Kira,,.
401,1,Emissary,commander's office,Kira,,hello
401,1,Emissary,commander's office,Kira,,.
401,1,Emissary,commander's office,Kira,,you
401,1,Emissary,commander's office,Kira,,do
401,1,Emissary,commander's office,Kira,,n't
401,1,Emissary,commander's office,Kira,,want
401,1,Emissary,commander's office,Kira,,to
401,1,Emissary,commander's office,Kira,,ask
401,1,Emissary,commander's office,Kira,,me
401,1,Emissary,commander's office,Kira,,that
401,1,Emissary,commander's office,Kira,,","
401,1,Emissary,commander's office,Kira,,commander
401,1,Emissary,commander's office,Kira,,.
401,1,Emissary,commander's office,Kira,,because
