Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,assaying office,Nog,a young Ferengi,hurry
401,1,Emissary,assaying office,Nog,a young Ferengi,up
401,1,Emissary,assaying office,Nog,a young Ferengi,!
401,1,Emissary,assaying office,Nog,a young Ferengi,now
401,1,Emissary,assaying office,Nog,a young Ferengi,.
401,1,Emissary,assaying office,Nog,,now
401,1,Emissary,assaying office,Nog,,!
403,1,A Man Alone,promenade,Nog,,what
403,1,A Man Alone,promenade,Nog,,do
403,1,A Man Alone,promenade,Nog,,you
403,1,A Man Alone,promenade,Nog,,want
403,1,A Man Alone,promenade,Nog,,","
403,1,A Man Alone,promenade,Nog,,human
403,1,A Man Alone,promenade,Nog,,?
403,1,A Man Alone,promenade,Nog,,i
403,1,A Man Alone,promenade,Nog,,know
403,1,A Man Alone,promenade,Nog,,who
403,1,A Man Alone,promenade,Nog,,you
403,1,A Man Alone,promenade,Nog,,are
403,1,A Man Alone,promenade,Nog,,.
403,1,A Man Alone,promenade,Nog,,why
403,1,A Man Alone,promenade,Nog,,do
403,1,A Man Alone,promenade,Nog,,you
403,1,A Man Alone,promenade,Nog,,care
403,1,A Man Alone,promenade,Nog,,?
403,1,A Man Alone,promenade,Nog,,nog
403,1,A Man Alone,promenade,Nog,,.
403,1,A Man Alone,promenade,Nog,,my
403,1,A Man Alone,promenade,Nog,,name
403,1,A Man Alone,promenade,Nog,,'s
403,1,A Man Alone,promenade,Nog,,nog
403,1,A Man Alone,promenade,Nog,,.
403,1,A Man Alone,promenade,Nog,,garanian
403,1,A Man Alone,promenade,Nog,,bolites
403,1,A Man Alone,promenade,Nog,,.
403,1,A Man Alone,promenade,Nog,,come
403,1,A Man Alone,promenade,Nog,,on
403,1,A Man Alone,promenade,Nog,,.
411,1,The Nagus,quark's,Nog,,no
411,1,The Nagus,quark's,Nog,,","
411,1,The Nagus,quark's,Nog,,father
411,1,The Nagus,quark's,Nog,,.
411,1,The Nagus,quark's,Nog,,yes
411,1,The Nagus,quark's,Nog,,","
411,1,The Nagus,quark's,Nog,,father
411,1,The Nagus,quark's,Nog,,.
411,1,The Nagus,quark's,Nog,,tonight
411,1,The Nagus,quark's,Nog,,.
411,1,The Nagus,quark's,Nog,,every
411,1,The Nagus,quark's,Nog,,rail
411,1,The Nagus,quark's,Nog,,.
411,1,The Nagus,schoolroom,Nog,,i
411,1,The Nagus,schoolroom,Nog,,do
411,1,The Nagus,schoolroom,Nog,,n't
411,1,The Nagus,schoolroom,Nog,,have
411,1,The Nagus,schoolroom,Nog,,my
411,1,The Nagus,schoolroom,Nog,,essay
411,1,The Nagus,schoolroom,Nog,,.
411,1,The Nagus,schoolroom,Nog,,my
411,1,The Nagus,schoolroom,Nog,,padd
411,1,The Nagus,schoolroom,Nog,,was
411,1,The Nagus,schoolroom,Nog,,stolen
411,1,The Nagus,schoolroom,Nog,,.
411,1,The Nagus,schoolroom,Nog,,it
411,1,The Nagus,schoolroom,Nog,,happened
411,1,The Nagus,schoolroom,Nog,,in
411,1,The Nagus,schoolroom,Nog,,quark
411,1,The Nagus,schoolroom,Nog,,'s
411,1,The Nagus,schoolroom,Nog,,.
411,1,The Nagus,schoolroom,Nog,,i
411,1,The Nagus,schoolroom,Nog,,put
411,1,The Nagus,schoolroom,Nog,,it
411,1,The Nagus,schoolroom,Nog,,on
411,1,The Nagus,schoolroom,Nog,,a
411,1,The Nagus,schoolroom,Nog,,table
411,1,The Nagus,schoolroom,Nog,,and
411,1,The Nagus,schoolroom,Nog,,there
411,1,The Nagus,schoolroom,Nog,,were
411,1,The Nagus,schoolroom,Nog,,some
411,1,The Nagus,schoolroom,Nog,,vulcans
411,1,The Nagus,schoolroom,Nog,,nearby
411,1,The Nagus,schoolroom,Nog,,yes
411,1,The Nagus,schoolroom,Nog,,","
411,1,The Nagus,schoolroom,Nog,,sir
411,1,The Nagus,schoolroom,Nog,,.
411,1,The Nagus,schoolroom,Nog,,because
411,1,The Nagus,schoolroom,Nog,,they
411,1,The Nagus,schoolroom,Nog,,do
411,1,The Nagus,schoolroom,Nog,,n't
411,1,The Nagus,schoolroom,Nog,,have
411,1,The Nagus,schoolroom,Nog,,ethics
411,1,The Nagus,schoolroom,Nog,,?
411,1,The Nagus,schoolroom,Nog,,it
411,1,The Nagus,schoolroom,Nog,,'s
411,1,The Nagus,schoolroom,Nog,,the
411,1,The Nagus,schoolroom,Nog,,truth
411,1,The Nagus,schoolroom,Nog,,.
411,1,The Nagus,schoolroom,Nog,,ask
411,1,The Nagus,schoolroom,Nog,,jake
411,1,The Nagus,schoolroom,Nog,,.
411,1,The Nagus,schoolroom,Nog,,he
411,1,The Nagus,schoolroom,Nog,,was
411,1,The Nagus,schoolroom,Nog,,with
411,1,The Nagus,schoolroom,Nog,,me
411,1,The Nagus,schoolroom,Nog,,.
411,1,The Nagus,schoolroom,Nog,,go
411,1,The Nagus,schoolroom,Nog,,on
411,1,The Nagus,schoolroom,Nog,,.
411,1,The Nagus,schoolroom,Nog,,tell
411,1,The Nagus,schoolroom,Nog,,him
411,1,The Nagus,schoolroom,Nog,,.
411,1,The Nagus,schoolroom,Nog,,yes
411,1,The Nagus,schoolroom,Nog,,.
411,1,The Nagus,quark's quarters,Nog,,can
411,1,The Nagus,quark's quarters,Nog,,i
411,1,The Nagus,quark's quarters,Nog,,go
411,1,The Nagus,quark's quarters,Nog,,now
411,1,The Nagus,quark's quarters,Nog,,?
411,1,The Nagus,quark's quarters,Nog,,i
411,1,The Nagus,quark's quarters,Nog,,have
411,1,The Nagus,quark's quarters,Nog,,homework
411,1,The Nagus,quark's quarters,Nog,,.
411,1,The Nagus,quark's,Nog,,all
