Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,promenade,O'Brien,,i
401,1,Emissary,promenade,O'Brien,,'m
401,1,Emissary,promenade,O'Brien,,told
401,1,Emissary,promenade,O'Brien,,the
401,1,Emissary,promenade,O'Brien,,cardassians
401,1,Emissary,promenade,O'Brien,,decided
401,1,Emissary,promenade,O'Brien,,to
401,1,Emissary,promenade,O'Brien,,have
401,1,Emissary,promenade,O'Brien,,some
401,1,Emissary,promenade,O'Brien,,fun
401,1,Emissary,promenade,O'Brien,,the
401,1,Emissary,promenade,O'Brien,,day
401,1,Emissary,promenade,O'Brien,,they
401,1,Emissary,promenade,O'Brien,,left
401,1,Emissary,promenade,O'Brien,,.
401,1,Emissary,promenade,O'Brien,,four
401,1,Emissary,promenade,O'Brien,,bajorans
401,1,Emissary,promenade,O'Brien,,were
401,1,Emissary,promenade,O'Brien,,killed
401,1,Emissary,promenade,O'Brien,,trying
401,1,Emissary,promenade,O'Brien,,to
401,1,Emissary,promenade,O'Brien,,protect
401,1,Emissary,promenade,O'Brien,,their
401,1,Emissary,promenade,O'Brien,,shops
401,1,Emissary,promenade,O'Brien,,.
401,1,Emissary,promenade,O'Brien,,we
401,1,Emissary,promenade,O'Brien,,'ve
401,1,Emissary,promenade,O'Brien,,got
401,1,Emissary,promenade,O'Brien,,all
401,1,Emissary,promenade,O'Brien,,available
401,1,Emissary,promenade,O'Brien,,personnel
401,1,Emissary,promenade,O'Brien,,assigned
401,1,Emissary,promenade,O'Brien,,to
401,1,Emissary,promenade,O'Brien,,repairing
401,1,Emissary,promenade,O'Brien,,primary
401,1,Emissary,promenade,O'Brien,,systems
401,1,Emissary,promenade,O'Brien,,","
401,1,Emissary,promenade,O'Brien,,sir
401,1,Emissary,promenade,O'Brien,,.
401,1,Emissary,promenade,O'Brien,,the
401,1,Emissary,promenade,O'Brien,,cardassians
401,1,Emissary,promenade,O'Brien,,took
401,1,Emissary,promenade,O'Brien,,every
401,1,Emissary,promenade,O'Brien,,component
401,1,Emissary,promenade,O'Brien,,of
401,1,Emissary,promenade,O'Brien,,value
401,1,Emissary,promenade,O'Brien,,.
401,1,Emissary,promenade,O'Brien,,we
401,1,Emissary,promenade,O'Brien,,'re
401,1,Emissary,promenade,O'Brien,,virtually
401,1,Emissary,promenade,O'Brien,,defenceless
401,1,Emissary,promenade,O'Brien,,.
401,1,Emissary,promenade,O'Brien,,i
401,1,Emissary,promenade,O'Brien,,discussed
401,1,Emissary,promenade,O'Brien,,this
401,1,Emissary,promenade,O'Brien,,with
401,1,Emissary,promenade,O'Brien,,major
401,1,Emissary,promenade,O'Brien,,kira
401,1,Emissary,promenade,O'Brien,,","
401,1,Emissary,promenade,O'Brien,,the
401,1,Emissary,promenade,O'Brien,,attaché
401,1,Emissary,promenade,O'Brien,,assigned
401,1,Emissary,promenade,O'Brien,,here
401,1,Emissary,promenade,O'Brien,,by
401,1,Emissary,promenade,O'Brien,,the
401,1,Emissary,promenade,O'Brien,,bajoran
401,1,Emissary,promenade,O'Brien,,government
401,1,Emissary,promenade,O'Brien,,and
401,1,Emissary,promenade,O'Brien,,we
401,1,Emissary,promenade,O'Brien,,decided
401,1,Emissary,promenade,O'Brien,,a
401,1,Emissary,promenade,O'Brien,,lot
401,1,Emissary,promenade,O'Brien,,of
401,1,Emissary,promenade,O'Brien,,them
401,1,Emissary,promenade,O'Brien,,lost
401,1,Emissary,promenade,O'Brien,,everything
401,1,Emissary,promenade,O'Brien,,they
401,1,Emissary,promenade,O'Brien,,had
401,1,Emissary,promenade,O'Brien,,.
401,1,Emissary,promenade,O'Brien,,a
401,1,Emissary,promenade,O'Brien,,few
401,1,Emissary,promenade,O'Brien,,are
401,1,Emissary,promenade,O'Brien,,trying
401,1,Emissary,promenade,O'Brien,,to
401,1,Emissary,promenade,O'Brien,,rebuild
401,1,Emissary,promenade,O'Brien,,","
401,1,Emissary,promenade,O'Brien,,but
401,1,Emissary,promenade,O'Brien,,most
401,1,Emissary,promenade,O'Brien,,are
401,1,Emissary,promenade,O'Brien,,packing
401,1,Emissary,promenade,O'Brien,,up
401,1,Emissary,promenade,O'Brien,,to
401,1,Emissary,promenade,O'Brien,,leave
401,1,Emissary,promenade,O'Brien,,.
401,1,Emissary,sisko's quarters,O'Brien,,when
401,1,Emissary,sisko's quarters,O'Brien,,my
401,1,Emissary,sisko's quarters,O'Brien,,wife
401,1,Emissary,sisko's quarters,O'Brien,,keiko
401,1,Emissary,sisko's quarters,O'Brien,,saw
401,1,Emissary,sisko's quarters,O'Brien,,our
401,1,Emissary,sisko's quarters,O'Brien,,quarters
401,1,Emissary,sisko's quarters,O'Brien,,","
401,1,Emissary,sisko's quarters,O'Brien,,she
401,1,Emissary,sisko's quarters,O'Brien,,started
401,1,Emissary,sisko's quarters,O'Brien,,talking
401,1,Emissary,sisko's quarters,O'Brien,,about
401,1,Emissary,sisko's quarters,O'Brien,,visiting
401,1,Emissary,sisko's quarters,O'Brien,,her
401,1,Emissary,sisko's quarters,O'Brien,,mother
401,1,Emissary,sisko's quarters,O'Brien,,in
401,1,Emissary,sisko's quarters,O'Brien,,kumamoto
401,1,Emissary,sisko's quarters,O'Brien,,.
401,1,Emissary,sisko's quarters,O'Brien,,sir
401,1,Emissary,sisko's quarters,O'Brien,,","
401,1,Emissary,sisko's quarters,O'Brien,,i
401,1,Emissary,sisko's quarters,O'Brien,,would
401,1,Emissary,sisko's quarters,O'Brien,,n't
401,1,Emissary,sisko's quarters,O'Brien,,allow
401,1,Emissary,sisko's quarters,O'Brien,,the
401,1,Emissary,sisko's quarters,O'Brien,,boy
401,1,Emissary,sisko's quarters,O'Brien,,to
401,1,Emissary,sisko's quarters,O'Brien,,go
401,1,Emissary,sisko's quarters,O'Brien,,roaming
401,1,Emissary,sisko's quarters,O'Brien,,.
401,1,Emissary,sisko's quarters,O'Brien,,we
401,1,Emissary,sisko's quarters,O'Brien,,'re
401,1,Emissary,sisko's quarters,O'Brien,,still
401,1,Emissary,sisko's quarters,O'Brien,,having
401,1,Emissary,sisko's quarters,O'Brien,,some
401,1,Emissary,sisko's quarters,O'Brien,,security
401,1,Emissary,sisko's quarters,O'Brien,,problems
401,1,Emissary,sisko's quarters,O'Brien,,.
401,1,Emissary,sisko's quarters,O'Brien,,we
401,1,Emissary,sisko's quarters,O'Brien,,can
401,1,Emissary,sisko's quarters,O'Brien,,get
