Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,commander's office,Odo,mostly human but a very bland face,yes
401,1,Emissary,commander's office,Odo,mostly human but a very bland face,","
401,1,Emissary,commander's office,Odo,mostly human but a very bland face,major
401,1,Emissary,commander's office,Odo,mostly human but a very bland face,?
401,1,Emissary,commander's office,Odo,,my
401,1,Emissary,commander's office,Odo,,security
401,1,Emissary,commander's office,Odo,,array
401,1,Emissary,commander's office,Odo,,has
401,1,Emissary,commander's office,Odo,,been
401,1,Emissary,commander's office,Odo,,down
401,1,Emissary,commander's office,Odo,,for
401,1,Emissary,commander's office,Odo,,two
401,1,Emissary,commander's office,Odo,,hours
401,1,Emissary,commander's office,Odo,,.
401,1,Emissary,commander's office,Odo,,i
401,1,Emissary,commander's office,Odo,,'ll
401,1,Emissary,commander's office,Odo,,meet
401,1,Emissary,commander's office,Odo,,you
401,1,Emissary,commander's office,Odo,,there
401,1,Emissary,commander's office,Odo,,.
401,1,Emissary,promenade,Odo,,all
401,1,Emissary,promenade,Odo,,right
401,1,Emissary,promenade,Odo,,","
401,1,Emissary,promenade,Odo,,just
401,1,Emissary,promenade,Odo,,stand
401,1,Emissary,promenade,Odo,,where
401,1,Emissary,promenade,Odo,,you
401,1,Emissary,promenade,Odo,,are
401,1,Emissary,promenade,Odo,,.
401,1,Emissary,promenade,Odo,,who
401,1,Emissary,promenade,Odo,,the
401,1,Emissary,promenade,Odo,,hell
401,1,Emissary,promenade,Odo,,are
401,1,Emissary,promenade,Odo,,you
401,1,Emissary,promenade,Odo,,?
401,1,Emissary,promenade,Odo,,i
401,1,Emissary,promenade,Odo,,do
401,1,Emissary,promenade,Odo,,n't
401,1,Emissary,promenade,Odo,,allow
401,1,Emissary,promenade,Odo,,weapons
401,1,Emissary,promenade,Odo,,on
401,1,Emissary,promenade,Odo,,the
401,1,Emissary,promenade,Odo,,promenade
401,1,Emissary,promenade,Odo,,.
401,1,Emissary,promenade,Odo,,that
401,1,Emissary,promenade,Odo,,includes
401,1,Emissary,promenade,Odo,,phasers
401,1,Emissary,promenade,Odo,,.
401,1,Emissary,promenade,Odo,,the
401,1,Emissary,promenade,Odo,,boy
401,1,Emissary,promenade,Odo,,'s
401,1,Emissary,promenade,Odo,,in
401,1,Emissary,promenade,Odo,,a
401,1,Emissary,promenade,Odo,,lot
401,1,Emissary,promenade,Odo,,of
401,1,Emissary,promenade,Odo,,trouble
401,1,Emissary,promenade,Odo,,.
401,1,Emissary,security office,Odo,,i
401,1,Emissary,security office,Odo,,'m
401,1,Emissary,security office,Odo,,curious
401,1,Emissary,security office,Odo,,myself
