Episode,Season,Title,Location,Speaker,Context,Token
401,1,Emissary,promenade,Quark,a Ferengi,nog
401,1,Emissary,promenade,Quark,a Ferengi,?
401,1,Emissary,promenade,Quark,a Ferengi,what
401,1,Emissary,promenade,Quark,a Ferengi,'s
401,1,Emissary,promenade,Quark,a Ferengi,going
401,1,Emissary,promenade,Quark,a Ferengi,on
401,1,Emissary,promenade,Quark,a Ferengi,?
401,1,Emissary,promenade,Quark,,commander
401,1,Emissary,promenade,Quark,,","
401,1,Emissary,promenade,Quark,,my
401,1,Emissary,promenade,Quark,,name
401,1,Emissary,promenade,Quark,,is
401,1,Emissary,promenade,Quark,,quark
401,1,Emissary,promenade,Quark,,.
401,1,Emissary,promenade,Quark,,i
401,1,Emissary,promenade,Quark,,used
401,1,Emissary,promenade,Quark,,to
401,1,Emissary,promenade,Quark,,run
401,1,Emissary,promenade,Quark,,the
401,1,Emissary,promenade,Quark,,local
401,1,Emissary,promenade,Quark,,gambling
401,1,Emissary,promenade,Quark,,establishment
401,1,Emissary,promenade,Quark,,.
401,1,Emissary,promenade,Quark,,this
401,1,Emissary,promenade,Quark,,is
401,1,Emissary,promenade,Quark,,my
401,1,Emissary,promenade,Quark,,brother
401,1,Emissary,promenade,Quark,,'s
401,1,Emissary,promenade,Quark,,boy
401,1,Emissary,promenade,Quark,,.
401,1,Emissary,promenade,Quark,,surely
401,1,Emissary,promenade,Quark,,you
401,1,Emissary,promenade,Quark,,can
401,1,Emissary,promenade,Quark,,see
401,1,Emissary,promenade,Quark,,that
401,1,Emissary,promenade,Quark,,he
401,1,Emissary,promenade,Quark,,only
401,1,Emissary,promenade,Quark,,has
401,1,Emissary,promenade,Quark,,a
401,1,Emissary,promenade,Quark,,peripheral
401,1,Emissary,promenade,Quark,,involvement
401,1,Emissary,promenade,Quark,,in
401,1,Emissary,promenade,Quark,,all
401,1,Emissary,promenade,Quark,,this
401,1,Emissary,promenade,Quark,,.
401,1,Emissary,promenade,Quark,,we
401,1,Emissary,promenade,Quark,,'re
401,1,Emissary,promenade,Quark,,scheduled
401,1,Emissary,promenade,Quark,,to
401,1,Emissary,promenade,Quark,,depart
401,1,Emissary,promenade,Quark,,tomorrow
401,1,Emissary,promenade,Quark,,.
401,1,Emissary,promenade,Quark,,if
401,1,Emissary,promenade,Quark,,we
401,1,Emissary,promenade,Quark,,could
401,1,Emissary,promenade,Quark,,be
401,1,Emissary,promenade,Quark,,permitted
401,1,Emissary,promenade,Quark,,to
401,1,Emissary,promenade,Quark,,take
401,1,Emissary,promenade,Quark,,him
401,1,Emissary,promenade,Quark,,","
401,1,Emissary,promenade,Quark,,i
401,1,Emissary,promenade,Quark,,promise
401,1,Emissary,promenade,Quark,,you
401,1,Emissary,promenade,Quark,,he
401,1,Emissary,promenade,Quark,,will
401,1,Emissary,promenade,Quark,,be
401,1,Emissary,promenade,Quark,,severely
401,1,Emissary,security office,Quark,,not
401,1,Emissary,security office,Quark,,going
401,1,Emissary,security office,Quark,,to
401,1,Emissary,security office,Quark,,leave
401,1,Emissary,security office,Quark,,?
401,1,Emissary,security office,Quark,,but
401,1,Emissary,security office,Quark,,we
401,1,Emissary,security office,Quark,,'re
401,1,Emissary,security office,Quark,,packed
401,1,Emissary,security office,Quark,,and
401,1,Emissary,security office,Quark,,ready
401,1,Emissary,security office,Quark,,to
401,1,Emissary,security office,Quark,,go
401,1,Emissary,security office,Quark,,.
401,1,Emissary,security office,Quark,,i
401,1,Emissary,security office,Quark,,do
401,1,Emissary,security office,Quark,,n't
401,1,Emissary,security office,Quark,,understand
401,1,Emissary,security office,Quark,,","
401,1,Emissary,security office,Quark,,commander
401,1,Emissary,security office,Quark,,.
401,1,Emissary,security office,Quark,,why
401,1,Emissary,security office,Quark,,would
401,1,Emissary,security office,Quark,,you
401,1,Emissary,security office,Quark,,want
401,1,Emissary,security office,Quark,,me
401,1,Emissary,security office,Quark,,to
401,1,Emissary,security office,Quark,,stay
401,1,Emissary,security office,Quark,,?
401,1,Emissary,security office,Quark,,i
401,1,Emissary,security office,Quark,,'m
401,1,Emissary,security office,Quark,,not
401,1,Emissary,security office,Quark,,a
401,1,Emissary,security office,Quark,,thief
401,1,Emissary,security office,Quark,,.
401,1,Emissary,security office,Quark,,if
401,1,Emissary,security office,Quark,,i
401,1,Emissary,security office,Quark,,am
401,1,Emissary,security office,Quark,,","
401,1,Emissary,security office,Quark,,you
401,1,Emissary,security office,Quark,,have
401,1,Emissary,security office,Quark,,n't
401,1,Emissary,security office,Quark,,been
401,1,Emissary,security office,Quark,,able
401,1,Emissary,security office,Quark,,to
401,1,Emissary,security office,Quark,,prove
401,1,Emissary,security office,Quark,,it
401,1,Emissary,security office,Quark,,for
401,1,Emissary,security office,Quark,,four
401,1,Emissary,security office,Quark,,years
401,1,Emissary,security office,Quark,,.
401,1,Emissary,security office,Quark,,community
401,1,Emissary,security office,Quark,,leader
401,1,Emissary,security office,Quark,,?
401,1,Emissary,security office,Quark,,how
401,1,Emissary,security office,Quark,,could
401,1,Emissary,security office,Quark,,i
401,1,Emissary,security office,Quark,,possibly
401,1,Emissary,security office,Quark,,operate
401,1,Emissary,security office,Quark,,my
401,1,Emissary,security office,Quark,,establishment
401,1,Emissary,security office,Quark,,under
401,1,Emissary,security office,Quark,,starfleet
401,1,Emissary,security office,Quark,,rules
401,1,Emissary,security office,Quark,,of
401,1,Emissary,security office,Quark,,conduct
401,1,Emissary,security office,Quark,,?
401,1,Emissary,security office,Quark,,commander
401,1,Emissary,security office,Quark,,","
401,1,Emissary,security office,Quark,,i
401,1,Emissary,security office,Quark,,'ve
401,1,Emissary,security office,Quark,,made
401,1,Emissary,security office,Quark,,a
401,1,Emissary,security office,Quark,,career
401,1,Emissary,security office,Quark,,out
401,1,Emissary,security office,Quark,,of
401,1,Emissary,security office,Quark,,knowing
401,1,Emissary,security office,Quark,,when
401,1,Emissary,security office,Quark,,to
401,1,Emissary,security office,Quark,,leave
401,1,Emissary,security office,Quark,,","
401,1,Emissary,security office,Quark,,and
401,1,Emissary,security office,Quark,,this
401,1,Emissary,security office,Quark,,bajoran
401,1,Emissary,security office,Quark,,provisional
401,1,Emissary,security office,Quark,,government
401,1,Emissary,security office,Quark,,is
401,1,Emissary,security office,Quark,,far
401,1,Emissary,security office,Quark,,too
