Episode,Season,Title,Location,Speaker,Context,Token
473,4,The Way of the Warrior,corridor,Worf,,chief
473,4,The Way of the Warrior,corridor,Worf,,.
473,4,The Way of the Warrior,corridor,Worf,,it
473,4,The Way of the Warrior,corridor,Worf,,has
473,4,The Way of the Warrior,corridor,Worf,,been
473,4,The Way of the Warrior,corridor,Worf,,a
473,4,The Way of the Warrior,corridor,Worf,,long
473,4,The Way of the Warrior,corridor,Worf,,time
473,4,The Way of the Warrior,corridor,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,lieutenant
473,4,The Way of the Warrior,captain's office,Worf,,commander
473,4,The Way of the Warrior,captain's office,Worf,,worf
473,4,The Way of the Warrior,captain's office,Worf,,reporting
473,4,The Way of the Warrior,captain's office,Worf,,for
473,4,The Way of the Warrior,captain's office,Worf,,duty
473,4,The Way of the Warrior,captain's office,Worf,,","
473,4,The Way of the Warrior,captain's office,Worf,,sir
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,thank
473,4,The Way of the Warrior,captain's office,Worf,,you
473,4,The Way of the Warrior,captain's office,Worf,,","
473,4,The Way of the Warrior,captain's office,Worf,,sir
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,yes
473,4,The Way of the Warrior,captain's office,Worf,,","
473,4,The Way of the Warrior,captain's office,Worf,,sir
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,yes
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,i
473,4,The Way of the Warrior,captain's office,Worf,,have
473,4,The Way of the Warrior,captain's office,Worf,,been
473,4,The Way of the Warrior,captain's office,Worf,,visiting
473,4,The Way of the Warrior,captain's office,Worf,,the
473,4,The Way of the Warrior,captain's office,Worf,,klingon
473,4,The Way of the Warrior,captain's office,Worf,,monastery
473,4,The Way of the Warrior,captain's office,Worf,,on
473,4,The Way of the Warrior,captain's office,Worf,,boreth
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,i
473,4,The Way of the Warrior,captain's office,Worf,,found
473,4,The Way of the Warrior,captain's office,Worf,,my
473,4,The Way of the Warrior,captain's office,Worf,,discussions
473,4,The Way of the Warrior,captain's office,Worf,,with
473,4,The Way of the Warrior,captain's office,Worf,,the
473,4,The Way of the Warrior,captain's office,Worf,,clerics
473,4,The Way of the Warrior,captain's office,Worf,,to
473,4,The Way of the Warrior,captain's office,Worf,,be
473,4,The Way of the Warrior,captain's office,Worf,,there
473,4,The Way of the Warrior,captain's office,Worf,,most
473,4,The Way of the Warrior,captain's office,Worf,,enlightening
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,my
473,4,The Way of the Warrior,captain's office,Worf,,leave
473,4,The Way of the Warrior,captain's office,Worf,,was
473,4,The Way of the Warrior,captain's office,Worf,,almost
473,4,The Way of the Warrior,captain's office,Worf,,over
473,4,The Way of the Warrior,captain's office,Worf,,","
473,4,The Way of the Warrior,captain's office,Worf,,sir
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,i
473,4,The Way of the Warrior,captain's office,Worf,,am
473,4,The Way of the Warrior,captain's office,Worf,,considering
473,4,The Way of the Warrior,captain's office,Worf,,resigning
473,4,The Way of the Warrior,captain's office,Worf,,my
473,4,The Way of the Warrior,captain's office,Worf,,commission
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,i
473,4,The Way of the Warrior,captain's office,Worf,,have
473,4,The Way of the Warrior,captain's office,Worf,,spent
473,4,The Way of the Warrior,captain's office,Worf,,most
473,4,The Way of the Warrior,captain's office,Worf,,of
473,4,The Way of the Warrior,captain's office,Worf,,my
473,4,The Way of the Warrior,captain's office,Worf,,life
473,4,The Way of the Warrior,captain's office,Worf,,among
473,4,The Way of the Warrior,captain's office,Worf,,humans
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,it
473,4,The Way of the Warrior,captain's office,Worf,,has
473,4,The Way of the Warrior,captain's office,Worf,,not
473,4,The Way of the Warrior,captain's office,Worf,,always
473,4,The Way of the Warrior,captain's office,Worf,,been
473,4,The Way of the Warrior,captain's office,Worf,,easy
473,4,The Way of the Warrior,captain's office,Worf,,for
473,4,The Way of the Warrior,captain's office,Worf,,me
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,and
473,4,The Way of the Warrior,captain's office,Worf,,since
473,4,The Way of the Warrior,captain's office,Worf,,the
473,4,The Way of the Warrior,captain's office,Worf,,destruction
473,4,The Way of the Warrior,captain's office,Worf,,of
473,4,The Way of the Warrior,captain's office,Worf,,the
473,4,The Way of the Warrior,captain's office,Worf,,enterprise
473,4,The Way of the Warrior,captain's office,Worf,,","
473,4,The Way of the Warrior,captain's office,Worf,,it
473,4,The Way of the Warrior,captain's office,Worf,,has
473,4,The Way of the Warrior,captain's office,Worf,,become
473,4,The Way of the Warrior,captain's office,Worf,,even
473,4,The Way of the Warrior,captain's office,Worf,,more
473,4,The Way of the Warrior,captain's office,Worf,,difficult
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,i
473,4,The Way of the Warrior,captain's office,Worf,,am
473,4,The Way of the Warrior,captain's office,Worf,,no
473,4,The Way of the Warrior,captain's office,Worf,,longer
473,4,The Way of the Warrior,captain's office,Worf,,sure
473,4,The Way of the Warrior,captain's office,Worf,,i
473,4,The Way of the Warrior,captain's office,Worf,,belong
473,4,The Way of the Warrior,captain's office,Worf,,in
473,4,The Way of the Warrior,captain's office,Worf,,this
473,4,The Way of the Warrior,captain's office,Worf,,uniform
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,thank
473,4,The Way of the Warrior,captain's office,Worf,,you
473,4,The Way of the Warrior,captain's office,Worf,,","
473,4,The Way of the Warrior,captain's office,Worf,,sir
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,but
473,4,The Way of the Warrior,captain's office,Worf,,until
473,4,The Way of the Warrior,captain's office,Worf,,i
473,4,The Way of the Warrior,captain's office,Worf,,make
473,4,The Way of the Warrior,captain's office,Worf,,my
473,4,The Way of the Warrior,captain's office,Worf,,decision
473,4,The Way of the Warrior,captain's office,Worf,,","
473,4,The Way of the Warrior,captain's office,Worf,,i
473,4,The Way of the Warrior,captain's office,Worf,,intend
473,4,The Way of the Warrior,captain's office,Worf,,to
473,4,The Way of the Warrior,captain's office,Worf,,do
473,4,The Way of the Warrior,captain's office,Worf,,my
473,4,The Way of the Warrior,captain's office,Worf,,duty
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,yes
473,4,The Way of the Warrior,captain's office,Worf,,","
473,4,The Way of the Warrior,captain's office,Worf,,sir
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,then
473,4,The Way of the Warrior,captain's office,Worf,,i
473,4,The Way of the Warrior,captain's office,Worf,,will
473,4,The Way of the Warrior,captain's office,Worf,,find
473,4,The Way of the Warrior,captain's office,Worf,,you
473,4,The Way of the Warrior,captain's office,Worf,,some
473,4,The Way of the Warrior,captain's office,Worf,,answers
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,yes
473,4,The Way of the Warrior,captain's office,Worf,,","
473,4,The Way of the Warrior,captain's office,Worf,,sir
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,captain's office,Worf,,i
473,4,The Way of the Warrior,captain's office,Worf,,will
473,4,The Way of the Warrior,captain's office,Worf,,keep
473,4,The Way of the Warrior,captain's office,Worf,,that
473,4,The Way of the Warrior,captain's office,Worf,,in
473,4,The Way of the Warrior,captain's office,Worf,,mind
473,4,The Way of the Warrior,captain's office,Worf,,.
473,4,The Way of the Warrior,quark's,Worf,,prune
473,4,The Way of the Warrior,quark's,Worf,,juice
473,4,The Way of the Warrior,quark's,Worf,,","
473,4,The Way of the Warrior,quark's,Worf,,chilled
473,4,The Way of the Warrior,quark's,Worf,,.
473,4,The Way of the Warrior,quark's,Worf,,i
473,4,The Way of the Warrior,quark's,Worf,,do
473,4,The Way of the Warrior,quark's,Worf,,not
473,4,The Way of the Warrior,quark's,Worf,,play
473,4,The Way of the Warrior,quark's,Worf,,games
473,4,The Way of the Warrior,quark's,Worf,,.
473,4,The Way of the Warrior,quark's,Worf,,nice
473,4,The Way of the Warrior,quark's,Worf,,hat
473,4,The Way of the Warrior,quark's,Worf,,.
473,4,The Way of the Warrior,quark's,Worf,,so
473,4,The Way of the Warrior,quark's,Worf,,i
473,4,The Way of the Warrior,quark's,Worf,,gathered
473,4,The Way of the Warrior,quark's,Worf,,.
473,4,The Way of the Warrior,quark's,Worf,,you
473,4,The Way of the Warrior,quark's,Worf,,used
473,4,The Way of the Warrior,quark's,Worf,,to
473,4,The Way of the Warrior,quark's,Worf,,be
473,4,The Way of the Warrior,quark's,Worf,,curzon
473,4,The Way of the Warrior,quark's,Worf,,dax
473,4,The Way of the Warrior,quark's,Worf,,.
473,4,The Way of the Warrior,quark's,Worf,,curzon
473,4,The Way of the Warrior,quark's,Worf,,'s
473,4,The Way of the Warrior,quark's,Worf,,name
473,4,The Way of the Warrior,quark's,Worf,,is
473,4,The Way of the Warrior,quark's,Worf,,an
473,4,The Way of the Warrior,quark's,Worf,,honoured
473,4,The Way of the Warrior,quark's,Worf,,one
473,4,The Way of the Warrior,quark's,Worf,,among
473,4,The Way of the Warrior,quark's,Worf,,my
473,4,The Way of the Warrior,quark's,Worf,,people
473,4,The Way of the Warrior,quark's,Worf,,.
473,4,The Way of the Warrior,quark's,Worf,,i
473,4,The Way of the Warrior,quark's,Worf,,suppose
473,4,The Way of the Warrior,quark's,Worf,,so
473,4,The Way of the Warrior,quark's,Worf,,.
473,4,The Way of the Warrior,quark's,Worf,,excuse
473,4,The Way of the Warrior,quark's,Worf,,me
473,4,The Way of the Warrior,quark's,Worf,,.
473,4,The Way of the Warrior,quark's,Worf,,you
473,4,The Way of the Warrior,quark's,Worf,,are
473,4,The Way of the Warrior,quark's,Worf,,drex
473,4,The Way of the Warrior,quark's,Worf,,","
473,4,The Way of the Warrior,quark's,Worf,,son
473,4,The Way of the Warrior,quark's,Worf,,of
473,4,The Way of the Warrior,quark's,Worf,,martok
473,4,The Way of the Warrior,quark's,Worf,,.
473,4,The Way of the Warrior,quark's,Worf,,i
473,4,The Way of the Warrior,quark's,Worf,,am
473,4,The Way of the Warrior,quark's,Worf,,worf
473,4,The Way of the Warrior,quark's,Worf,,","
473,4,The Way of the Warrior,quark's,Worf,,son
473,4,The Way of the Warrior,quark's,Worf,,of
473,4,The Way of the Warrior,quark's,Worf,,mogh
473,4,The Way of the Warrior,quark's,Worf,,.
473,4,The Way of the Warrior,guest quarters,Worf,,enter
473,4,The Way of the Warrior,guest quarters,Worf,,.
473,4,The Way of the Warrior,guest quarters,Worf,,now
473,4,The Way of the Warrior,guest quarters,Worf,,that
473,4,The Way of the Warrior,guest quarters,Worf,,you
473,4,The Way of the Warrior,guest quarters,Worf,,are
473,4,The Way of the Warrior,guest quarters,Worf,,here
473,4,The Way of the Warrior,guest quarters,Worf,,","
473,4,The Way of the Warrior,guest quarters,Worf,,i
473,4,The Way of the Warrior,guest quarters,Worf,,have
473,4,The Way of the Warrior,guest quarters,Worf,,no
473,4,The Way of the Warrior,guest quarters,Worf,,further
473,4,The Way of the Warrior,guest quarters,Worf,,need
473,4,The Way of the Warrior,guest quarters,Worf,,of
473,4,The Way of the Warrior,guest quarters,Worf,,it
473,4,The Way of the Warrior,guest quarters,Worf,,.
473,4,The Way of the Warrior,guest quarters,Worf,,you
473,4,The Way of the Warrior,guest quarters,Worf,,ca
473,4,The Way of the Warrior,guest quarters,Worf,,n't
473,4,The Way of the Warrior,guest quarters,Worf,,take
473,4,The Way of the Warrior,guest quarters,Worf,,away
473,4,The Way of the Warrior,guest quarters,Worf,,what
473,4,The Way of the Warrior,guest quarters,Worf,,someone
473,4,The Way of the Warrior,guest quarters,Worf,,does
473,4,The Way of the Warrior,guest quarters,Worf,,not
473,4,The Way of the Warrior,guest quarters,Worf,,have
473,4,The Way of the Warrior,guest quarters,Worf,,.
473,4,The Way of the Warrior,guest quarters,Worf,,i
473,4,The Way of the Warrior,guest quarters,Worf,,am
473,4,The Way of the Warrior,guest quarters,Worf,,saying
473,4,The Way of the Warrior,guest quarters,Worf,,your
473,4,The Way of the Warrior,guest quarters,Worf,,son
473,4,The Way of the Warrior,guest quarters,Worf,,is
473,4,The Way of the Warrior,guest quarters,Worf,,a
473,4,The Way of the Warrior,guest quarters,Worf,,coward
473,4,The Way of the Warrior,guest quarters,Worf,,and
473,4,The Way of the Warrior,guest quarters,Worf,,a
473,4,The Way of the Warrior,guest quarters,Worf,,liar
473,4,The Way of the Warrior,guest quarters,Worf,,.
473,4,The Way of the Warrior,guest quarters,Worf,,that
473,4,The Way of the Warrior,guest quarters,Worf,,remains
473,4,The Way of the Warrior,guest quarters,Worf,,to
473,4,The Way of the Warrior,guest quarters,Worf,,be
473,4,The Way of the Warrior,guest quarters,Worf,,seen
473,4,The Way of the Warrior,guest quarters,Worf,,.
473,4,The Way of the Warrior,guest quarters,Worf,,the
473,4,The Way of the Warrior,guest quarters,Worf,,misdeeds
473,4,The Way of the Warrior,guest quarters,Worf,,your
473,4,The Way of the Warrior,guest quarters,Worf,,troops
473,4,The Way of the Warrior,guest quarters,Worf,,have
473,4,The Way of the Warrior,guest quarters,Worf,,committed
473,4,The Way of the Warrior,guest quarters,Worf,,speak
473,4,The Way of the Warrior,guest quarters,Worf,,for
473,4,The Way of the Warrior,guest quarters,Worf,,themselves
473,4,The Way of the Warrior,guest quarters,Worf,,.
473,4,The Way of the Warrior,guest quarters,Worf,,attacking
473,4,The Way of the Warrior,guest quarters,Worf,,a
473,4,The Way of the Warrior,guest quarters,Worf,,cardassian
473,4,The Way of the Warrior,guest quarters,Worf,,tailor
473,4,The Way of the Warrior,guest quarters,Worf,,.
473,4,The Way of the Warrior,guest quarters,Worf,,detaining
473,4,The Way of the Warrior,guest quarters,Worf,,and
473,4,The Way of the Warrior,guest quarters,Worf,,searching
473,4,The Way of the Warrior,guest quarters,Worf,,ships
473,4,The Way of the Warrior,guest quarters,Worf,,in
473,4,The Way of the Warrior,guest quarters,Worf,,neutral
473,4,The Way of the Warrior,guest quarters,Worf,,space
473,4,The Way of the Warrior,guest quarters,Worf,,without
473,4,The Way of the Warrior,guest quarters,Worf,,warning
473,4,The Way of the Warrior,guest quarters,Worf,,or
473,4,The Way of the Warrior,guest quarters,Worf,,provocation
473,4,The Way of the Warrior,guest quarters,Worf,,.
473,4,The Way of the Warrior,guest quarters,Worf,,and
473,4,The Way of the Warrior,guest quarters,Worf,,you
473,4,The Way of the Warrior,guest quarters,Worf,,","
473,4,The Way of the Warrior,guest quarters,Worf,,executing
473,4,The Way of the Warrior,guest quarters,Worf,,one
473,4,The Way of the Warrior,guest quarters,Worf,,of
473,4,The Way of the Warrior,guest quarters,Worf,,your
473,4,The Way of the Warrior,guest quarters,Worf,,commanders
473,4,The Way of the Warrior,guest quarters,Worf,,because
473,4,The Way of the Warrior,guest quarters,Worf,,he
473,4,The Way of the Warrior,guest quarters,Worf,,refused
473,4,The Way of the Warrior,guest quarters,Worf,,to
473,4,The Way of the Warrior,guest quarters,Worf,,fire
473,4,The Way of the Warrior,guest quarters,Worf,,on
473,4,The Way of the Warrior,guest quarters,Worf,,a
473,4,The Way of the Warrior,guest quarters,Worf,,federation
473,4,The Way of the Warrior,guest quarters,Worf,,ship
473,4,The Way of the Warrior,guest quarters,Worf,,","
473,4,The Way of the Warrior,guest quarters,Worf,,you
473,4,The Way of the Warrior,guest quarters,Worf,,must
473,4,The Way of the Warrior,guest quarters,Worf,,think
473,4,The Way of the Warrior,guest quarters,Worf,,me
473,4,The Way of the Warrior,guest quarters,Worf,,a
473,4,The Way of the Warrior,guest quarters,Worf,,fool
473,4,The Way of the Warrior,guest quarters,Worf,,to
473,4,The Way of the Warrior,guest quarters,Worf,,make
473,4,The Way of the Warrior,guest quarters,Worf,,your
473,4,The Way of the Warrior,guest quarters,Worf,,lies
473,4,The Way of the Warrior,guest quarters,Worf,,so
473,4,The Way of the Warrior,guest quarters,Worf,,transparent
473,4,The Way of the Warrior,guest quarters,Worf,,.
